on road old,on road now,years,km,rating,condition,economy,top speed,hp,torque,current price
535651,798186,3,78945,1,2,14,177,73,123,351318
591911,861056,6,117220,5,9,9,148,74,95,2850015
686990,770762,2,132538,2,8,15,181,53,97,215386
573999,722381,4,101065,4,3,11,197,54,116,2442955
691388,811335,6,61559,3,9,12,160,53,105,5311145
650007,844846,6,148846,2,9,13,138,61,109,1779335
633344,756063,5,78025,1,9,15,171,94,132,410877
662990,891569,6,76546,1,2,12,146,109,96,4674715
543184,841354,7,57662,4,7,14,151,50,132,4623975
573043,879481,2,132347,2,3,12,200,115,82,197266
669458,782853,7,106819,2,5,12,164,87,113,2923085
668839,802272,6,117221,5,2,9,187,74,87,2645765
619831,780397,4,53513,3,9,13,174,81,92,515454
539406,891627,6,86704,1,7,15,175,118,107,373529
502932,874387,7,51547,2,1,9,146,60,107,4742815
658177,759879,7,70564,1,10,15,176,74,119,468666
556598,849902,4,130514,3,9,15,189,120,133,2106615
583560,882426,4,115576,2,6,14,195,69,93,2743575
671058,843316,5,79458,5,1,14,156,84,132,4396395
652172,832672,2,140673,4,8,10,153,73,86,196816
560976,719003,7,130523,5,5,10,187,75,129,1128645
582509,866266,6,81194,5,9,11,182,95,139,427079
630883,744258,6,94437,5,9,15,176,84,126,337327
519144,886024,6,139685,2,2,11,163,52,121,1402165
651106,779208,4,53137,3,8,8,191,109,121,518845
577040,723283,3,74489,1,9,8,179,96,136,3818465
529558,833873,4,85911,1,3,13,145,79,78,337917
604287,786970,4,100572,3,9,12,141,63,71,322684
667905,842018,7,143488,4,4,12,142,74,74,173847
503327,873403,7,101416,3,8,9,171,77,128,2910315
519972,887661,2,90429,5,6,13,137,82,111,3477845
624535,801702,5,67075,1,8,15,138,110,75,4599145
697680,705256,7,129855,2,6,9,157,92,70,1777485
639183,859130,2,146017,4,4,9,162,55,75,166283
630489,717182,5,96226,1,9,8,191,101,94,317119
607617,805462,7,125676,2,3,15,164,87,93,195854
531436,700159,4,121583,4,4,10,196,108,108,1302335
508335,757721,6,54003,2,7,11,160,106,80,421781
523294,762865,3,94258,1,10,11,173,101,120,316184
669414,825723,4,124136,3,3,10,159,50,90,250955
595967,873068,5,85276,5,6,11,157,84,79,397522
623158,878859,6,74674,5,1,10,158,83,81,4501985
623187,851197,6,111922,3,9,13,193,59,140,3155425
578908,850550,7,72391,5,8,15,163,81,130,4350075
510868,804221,2,129439,2,4,15,153,106,107,140596
645738,863715,4,103761,4,10,11,162,107,96,3899255
645596,719594,3,97328,4,2,8,154,64,90,2938755
589508,737952,3,87920,5,6,15,182,71,127,3176815
581432,847558,2,79912,5,8,13,160,118,130,413066
596607,792572,4,95771,1,9,12,136,88,115,340760
624057,712356,5,113301,1,8,13,162,79,122,2300905
508364,761766,2,139139,4,9,9,154,108,80,108741
627884,885941,3,56698,4,1,9,198,98,118,530759
676170,710374,6,134933,2,5,11,181,112,73,151474
602722,834949,4,119131,1,3,9,181,105,137,2421735
589692,776028,7,91182,2,10,15,178,53,71,360008
593348,736659,6,70499,5,5,11,184,51,78,3824615
665615,878127,7,79813,3,1,13,158,110,138,444625
670179,762533,3,65710,2,6,13,165,107,124,457581
579359,888002,2,88139,1,1,10,200,66,118,3813515
595184,860907,7,122778,2,9,9,136,106,136,258300
558209,767363,3,140885,4,8,12,151,59,114,1162545
552511,877846,7,146376,3,10,12,141,58,112,171620
635177,864741,3,67689,4,6,11,176,55,102,4837085
643034,892814,5,94688,5,3,9,173,84,99,389512
617740,730220,2,121698,1,8,13,156,89,96,2038115
674907,768549,4,99207,4,2,14,160,64,100,325176
591834,765751,5,94365,1,4,8,194,81,95,3004995
620112,850548,5,113638,4,9,8,171,51,120,309455
685935,784038,5,111461,2,8,12,142,73,114,3042165
598889,850999,3,129721,3,2,14,146,84,93,2063355
573022,817830,6,54169,3,2,12,191,102,111,4752735
532410,803816,3,52156,4,7,13,143,118,90,468543
557537,807222,4,50714,1,10,15,178,85,125,5293185
572094,714521,4,129978,5,3,14,169,105,90,1248475
602489,833980,6,104924,1,3,11,158,55,125,295002
571750,746437,7,124272,2,3,13,146,69,119,153991
574691,751513,2,114702,4,5,11,175,61,120,206591
541051,785642,5,91792,5,5,15,189,82,68,298023
576412,749928,4,114468,2,8,11,137,55,140,2214125
595886,752626,2,62563,2,4,12,158,110,118,424781
548129,863055,2,77250,2,8,15,184,114,101,413288
669082,883158,3,115617,5,3,10,151,58,69,3154035
695797,872137,7,81941,3,10,11,144,60,129,498148
577821,762633,2,87661,1,8,11,150,107,82,3361815
534765,771066,6,78783,3,8,13,165,89,70,3506475
670970,700746,4,135574,4,8,9,156,66,106,1601505
560455,776230,4,79799,4,6,14,166,84,121,353318
515848,719890,6,68791,5,9,13,154,92,127,370175
624982,754152,7,67045,1,8,13,188,118,127,429669
507804,835300,7,97320,3,10,13,175,82,114,324260
524837,862388,5,112977,1,4,10,194,110,139,240926
535574,740396,7,64457,5,7,13,159,77,76,381960
655253,874106,4,141405,4,2,10,197,72,107,1993135
557699,879964,7,105139,5,3,11,197,114,87,2918155
685511,806008,2,122212,3,8,15,143,73,106,2736745
687137,773677,3,50460,2,3,9,183,68,90,528794
685165,700885,6,143513,3,6,15,141,117,102,119387
621793,855595,7,98931,4,8,12,162,104,74,3517045
574353,884315,2,140286,2,4,11,172,79,105,1689405
508452,785537,4,78314,2,3,15,188,65,138,333672
698748,837828,3,110549,5,9,10,183,79,111,357294
600762,858008,2,118272,4,10,9,152,118,79,307008
607602,858063,4,96206,5,4,8,194,53,71,349762
500265,753148,7,52701,5,7,9,184,108,84,4176935
677780,888243,4,67968,1,1,14,165,119,121,510929
519909,789003,4,66514,3,10,13,139,50,69,438223
684018,738298,3,130238,1,7,13,200,58,72,198738
661095,828377,2,61760,4,1,11,136,117,77,498418
538205,838310,2,52701,3,5,8,143,59,128,4793185
574756,890770,5,61160,3,6,9,167,65,106,4907795
600109,884745,7,74321,2,2,12,192,113,95,4370435
538623,721997,7,119412,3,6,8,184,80,118,148491
666094,871905,6,104220,3,9,8,198,119,129,3781325
630266,706950,6,130732,4,9,10,135,90,83,1720325
684369,829557,2,131804,2,4,8,144,55,76,2304285
629587,818914,2,74161,4,9,11,179,100,107,4578805
634461,710901,2,115874,4,9,8,155,51,119,239400
658513,734546,6,105989,3,4,9,149,78,119,2695325
658016,865597,4,112697,4,4,11,142,99,124,3117735
573767,863639,4,87427,1,6,12,151,79,74,3725955
606327,838077,3,60414,3,5,12,164,110,72,4823535
553989,841852,3,147158,2,1,8,159,62,82,109367
671462,829731,4,119637,1,7,14,146,59,136,280209
643495,800644,7,93270,2,5,12,192,89,100,342427
652544,783771,7,83487,4,5,10,141,62,79,3780715
625255,846911,5,68992,3,3,15,195,106,73,459095
619240,776455,3,149413,1,6,12,186,86,89,104215
529515,729234,5,74320,2,3,13,144,92,73,3309085
698453,746977,4,93630,4,8,15,182,96,135,364898
560875,876132,2,115616,1,3,9,141,101,98,256356
516747,780413,2,74396,1,6,15,159,95,134,355175
524395,783352,2,139517,4,2,11,179,102,71,96554
660260,791726,2,75311,4,4,10,143,74,89,425960
632769,841027,7,60944,4,6,11,151,116,111,489368
625747,780263,5,125694,2,7,13,155,86,123,2073525
545819,826738,7,124033,4,10,13,146,107,121,2325265
521023,713000,5,66028,5,9,12,177,57,126,382676
691439,751561,5,133840,1,5,11,141,73,97,1863565
638946,793215,7,148642,5,1,8,158,66,88,114860
666466,765086,5,84645,4,9,14,170,104,90,405950
556907,848329,7,135305,5,7,14,197,52,84,163225
565576,894746,7,112910,4,5,10,171,107,113,2724375
653631,730342,7,115951,1,4,8,197,102,90,220518
543149,790766,4,90509,4,5,14,143,50,134,3067455
638415,766346,4,54984,3,5,14,169,50,120,483884
671452,796746,2,55584,4,2,8,179,106,85,512492
512372,878370,3,114559,1,4,9,180,76,71,237730
663985,748107,3,146540,3,7,9,164,63,92,1284895
594417,819295,6,125188,1,2,13,156,81,135,202503
597016,787804,6,74444,5,3,8,188,80,79,3926355
615801,720231,4,124042,2,9,9,139,53,120,201073
652966,812593,5,69621,3,1,8,164,86,114,453069
675812,834425,6,124754,1,6,10,198,61,98,2563315
685877,738545,2,107712,5,10,11,183,68,75,333133
691375,711115,4,103666,5,6,15,152,96,108,291810
683163,797707,2,110771,3,6,13,196,53,75,301591
645485,702547,2,104980,2,5,10,181,76,129,2559015
545701,851076,7,105481,3,9,8,139,53,102,297886
558274,709074,7,60237,4,3,11,185,74,100,385196
591081,843578,2,54601,5,6,14,198,89,84,5046435
609622,753566,7,61872,2,5,8,191,76,100,4274965
691412,769253,2,145509,1,5,13,139,79,78,150076
542613,798150,4,86272,3,10,8,192,96,78,375118
642206,724236,6,135473,5,5,12,158,63,100,1407985
640397,883688,3,86838,1,7,11,181,96,119,4232315
590862,743103,3,120151,5,9,12,142,70,80,217562
661284,884211,3,120926,5,7,9,166,105,131,2991295
685806,898347,3,76363,4,8,8,152,115,84,5036065
682642,822524,3,89634,1,2,13,183,65,116,3942085
639975,860663,5,60199,1,10,12,185,118,137,558253
634610,726256,4,105279,4,9,10,158,59,99,2890495
549326,784319,5,111631,4,1,8,136,113,115,2194625
678638,756501,7,101835,4,8,10,193,84,81,318951
501569,832080,6,115822,4,8,13,188,100,117,2168315
655171,797665,6,64547,1,2,15,172,56,99,4646345
664655,832532,3,139295,5,10,12,150,79,112,243097
653906,702490,4,60086,5,2,11,168,107,95,439166
623627,728146,7,91095,4,7,15,161,119,105,3123235
647956,859535,6,85070,1,10,11,158,102,130,4598335
528476,803291,7,113280,4,5,11,179,85,102,206678
663877,712781,4,125669,1,3,12,153,74,74,1854855
570874,753259,5,109579,5,9,8,135,94,110,2534765
557674,825063,6,127322,1,2,15,198,63,136,178520
568410,707813,2,145030,2,3,15,179,67,71,58384
607956,824296,6,135163,3,4,11,188,70,106,172462
679477,764803,6,87261,2,9,14,145,79,79,398998
632794,734480,7,120138,3,9,10,155,52,105,2245335
620809,760522,2,146254,3,5,8,151,74,77,1075005
649375,819130,5,70453,4,7,12,170,115,134,460075
684983,717859,2,133843,3,5,13,141,84,129,1679785
617306,714214,6,79797,1,10,10,192,63,117,3929205
630842,709467,6,64667,4,4,9,150,106,139,4088605
678529,770463,3,61501,3,5,13,142,62,132,480307
568040,877489,5,136622,2,3,12,164,119,75,1751025
596991,815999,6,58064,3,10,8,137,87,86,5206595
585809,708970,5,76096,5,5,13,162,91,83,3448205
698493,747571,2,127410,3,1,12,177,92,128,2137685
679527,810855,3,148234,1,4,10,191,82,94,1528795
500486,810001,5,98772,1,10,14,138,119,94,308867
662454,822625,4,145796,4,1,13,176,52,120,1596145
507001,845327,2,87506,5,6,10,185,95,110,3318195
639010,835484,5,107869,4,1,9,165,74,85,3049235
583009,840537,5,148481,2,10,12,172,96,125,166571
523637,816084,7,127042,5,6,11,135,86,82,1589515
616026,731088,2,80503,1,4,9,168,101,136,3522845
575455,806748,6,136584,1,8,11,182,108,79,157507
572334,897566,7,55973,3,9,15,177,53,85,5325705
643744,742863,4,64764,4,10,9,151,99,135,4844805
617090,734310,5,142275,5,10,10,185,86,80,1568255
588774,756503,5,137960,4,3,8,197,115,70,1200925
548477,726882,6,58604,3,4,11,153,117,105,400257
639403,846365,7,103143,2,2,12,155,111,117,322204
655267,810266,6,58901,1,4,8,187,79,84,493994
